Index,random solution,solve total amount v1,solve total amount v2,solve variance only,solve assignment only,solve custom greedy,solve genetic,ref solution
62,56240.66703700606,93579.37486109912,103142.87765370017,103142.87765370017,15144.502663749874,103142.87765370017,99246.50105806036,0.0
63,59632.84890329245,92693.96479109723,109142.86862049777,109142.86862049777,17244.538158825442,109142.86862049777,90698.46769473533,0.0
64,45624.603609024845,90134.48450684854,102308.31583613821,102308.31583613821,13984.334609608251,102308.31583613821,96232.77733011656,0.0
65,59575.64400849415,91769.43366706333,108153.73204429501,108153.73204429501,15214.378805257946,108153.73204429501,55267.97115421992,0.0
66,46138.071517652985,82865.01342716125,105310.66765403835,105310.66765403835,11163.40865083389,105310.66765403835,95493.50744591485,0.0
67,51991.84249882607,94429.1143603606,100197.69896765612,100197.69896765612,15604.33158791567,100197.69896765612,71870.45757073845,0.0
68,63247.37205737157,94894.86199955878,111568.00453816353,111568.00453816353,13264.400507703014,111568.00453816353,88268.97115620156,0.0
69,61485.8413883896,92569.45772627866,102406.55496580397,102406.55496580397,14844.492066461864,102406.55496580397,103282.23063330179,0.0
70,68524.92471308073,84154.69533248582,103117.34333759148,103117.34333759148,11848.085863106216,103117.34333759148,72123.19531605244,0.0
71,68134.24328076362,80399.36188976756,108592.79841923338,108592.79841923338,14301.45737407684,108592.79841923338,98989.10198615363,0.0
72,68121.19048201728,95464.04741017355,98136.71929178548,98136.71929178548,13754.240415828339,98136.71929178548,68146.10465728874,0.0
73,51794.217022977646,93814.30869420234,98638.5921082103,98638.5921082103,9419.287177269971,98638.5921082103,87435.93809052212,0.0
74,56539.232622327036,89789.46526032637,103117.26353127601,103117.26353127601,14639.421794123084,103117.26353127601,76046.59168253356,0.0
75,72107.0360721395,78381.22315927695,99632.73858032304,99632.73858032304,12404.139213001006,99632.73858032304,70245.32298099539,0.0
76,52977.081582296625,91458.55387935895,98176.29364655945,98176.29364655945,12149.516703747462,98176.29364655945,74399.01783555343,0.0
77,66913.94614666802,80726.09380492945,97316.25694414413,97316.25694414413,11885.592403470828,97316.25694414413,74637.4133374108,0.0
78,47544.04441289407,94011.85427657103,104716.52202543005,104716.52202543005,12843.91728520269,104716.52202543005,90730.76937462355,0.0
79,63417.63237563119,84469.69454718534,101322.52606394928,101322.52606394928,11933.338935566559,101322.52606394928,76980.92207359249,0.0
80,76695.59532908544,77428.98614699235,107786.5970269152,107786.5970269152,14579.24225739927,107786.5970269152,72055.53542393855,0.0
81,64880.66856104135,78509.53250550324,100866.26147260577,100866.26147260577,13649.955836606794,100866.26147260577,82289.11684205291,0.0
82,64426.618496549636,93974.23749382606,95422.4816254644,95422.4816254644,11709.392368940695,95422.4816254644,87873.90867021684,0.0
83,70998.91259347802,94391.58785392369,100825.87037622165,100825.87037622165,13018.717419680384,100825.87037622165,95952.07348130664,0.0
84,52333.17177489842,75450.21115592553,97437.09101467107,97437.09101467107,12161.884357337365,97437.09101467107,65038.90263719863,0.0
85,43536.66494876218,79692.93103125512,97573.09603634261,97573.09603634261,11575.97727563171,97573.09603634261,75833.50626155018,0.0
86,73837.34287617196,92519.34491628059,96838.40012010888,96838.40012010888,11279.6270241996,96838.40012010888,80081.25975468125,0.0
87,59868.99941132798,90399.83154457761,93438.10851596425,93438.10851596425,12564.343337575856,93438.10851596425,85026.06905144046,0.0
88,56025.406733901335,91264.68158382476,103268.1324367646,103268.1324367646,14849.496368848126,103268.1324367646,71606.16658076961,0.0
89,49628.10456217005,91932.33746311541,97755.06578043429,97755.06578043429,10478.960269089874,97755.06578043429,78586.2881780857,0.0
90,63332.417338276486,92834.29467819726,108658.15013210982,108658.15013210982,14369.448460626323,108658.15013210982,81638.33902638759,0.0
91,69239.42241679638,88810.30717569277,98462.10350485404,98462.10350485404,12666.910961454443,98462.10350485404,86444.75323909715,0.0
92,58145.30069471268,81470.05089396189,101787.24258310068,101787.24258310068,13083.159896664178,101787.24258310068,78759.68564652577,0.0
93,47396.13552182187,90608.73391923435,102441.47614412844,102441.47614412844,15989.38346571094,102441.47614412844,86187.23612948958,0.0
94,65638.48414256604,91648.8019135605,94731.48372587678,94731.48372587678,8504.149928270932,94731.48372587678,72508.85485686944,0.0
95,62227.72737140961,91602.6646236672,102952.2213110202,102952.2213110202,12398.915530916103,102952.2213110202,93863.53443150785,0.0
96,68904.17282951552,91178.73926291334,96861.98303870355,96861.98303870355,13509.643280055829,96861.98303870355,78759.79661376716,0.0
97,61001.865920374104,80799.44543439867,108302.14710094593,108302.14710094593,12404.425052342982,108302.14710094593,96150.37697355397,0.0
98,66857.87882022843,80345.55360944619,98861.9709112664,98861.9709112664,13493.197179203662,98861.9709112664,79612.75332290535,0.0
99,53493.73589194982,90108.65944885902,94346.57231722405,94346.57231722405,8384.196946521372,94346.57231722405,68455.60195906216,0.0
