Index,Random,Total Amount,Total Amount 2,STD Dev,Assignment,Combined,Genentic,Reference
19,"[12.943539183039686, -0.07093087587414545, -13575]","[12.76262637051975, -0.01286220136250578, -20186]","[13.038421555738488, -0.008371033123427284, -21935]","[13.038421555738488, -0.008371033123427284, -21935]","[14.597602369116437, -0.11269679423265606, -3882]","[13.038421555738488, -0.008371033123427284, -21935]","[11.941560805339035, -0.0789748698478861, -19030]","[13.726484114152152, -0.019210977287024766, -1146]"
20,"[12.258079831813037, -0.07004169372328628, -12077]","[12.854856751191484, -0.013356239631164137, -19642]","[13.293464415755333, -0.012273781277598516, -20422]","[13.293464415755333, -0.012273781277598516, -20422]","[14.594862690214566, -0.1146420280176092, -3552]","[13.293464415755333, -0.012273781277598516, -20422]","[12.414213518059416, -0.07669712206277181, -17299]","[13.726484114152152, -0.019210977287024766, -1146]"
21,"[13.759819434889437, -0.06439168234263343, -11275]","[13.40202512303284, -0.014997484451955801, -20006]","[13.555027794408668, -0.009200755436058737, -21636]","[13.555027794408668, -0.009200755436058737, -21636]","[15.508279201131664, -0.11341793585830846, -3952]","[13.555027794408668, -0.009200755436058737, -21636]","[12.432342153290318, -0.07596413700561955, -17335]","[13.726484114152152, -0.019210977287024766, -1146]"
22,"[13.606360576394547, -0.07323879239440541, -13084]","[13.09570499847086, -0.013731483802973956, -19565]","[13.218268663183506, -0.0077206567478746, -22041]","[13.218268663183506, -0.0077206567478746, -22041]","[15.12901477921409, -0.11329057270195839, -3332]","[13.218268663183506, -0.0077206567478746, -22041]","[12.673249235254328, -0.07213895944601888, -16574]","[13.726484114152152, -0.019210977287024766, -1146]"
23,"[12.669276324231449, -0.07392674901764693, -13282]","[12.779553689011294, -0.013027454958066537, -19945]","[13.151843642454988, -0.011747924525974113, -21179]","[13.151843642454988, -0.011747924525974113, -21179]","[14.882449010363503, -0.11321189562973731, -3872]","[13.151843642454988, -0.011747924525974113, -21179]","[11.196878385920822, -0.06362134265837763, -23991]","[13.726484114152152, -0.019210977287024766, -1146]"
24,"[13.466547221509732, -0.07292146208775373, -10299]","[12.750594218731091, -0.01342230591022228, -19302]","[13.512177433244995, -0.010798084207340361, -19724]","[13.512177433244995, -0.010798084207340361, -19724]","[14.920998461172008, -0.11421403297848112, -3693]","[13.512177433244995, -0.010798084207340361, -19724]","[12.357503768348186, -0.07189335216725322, -20311]","[13.726484114152152, -0.019210977287024766, -1146]"
25,"[14.07422269230598, -0.08504965698688902, -13741]","[16.181499359909832, -0.013868702197895657, -18083]","[16.850395742005098, -0.016605171200110996, -21119]","[16.850395742005098, -0.016605171200110996, -21119]","[18.624099807759134, -0.11576905968828444, -3392]","[16.850395742005098, -0.016605171200110996, -21119]","[15.390386854435341, -0.0902308884176937, -14669]","[19.138254994754114, -0.026785051362019457, -1146]"
26,"[15.598777560192907, -0.09291680315109534, -12687]","[16.052659868802934, -0.013990389521139086, -18892]","[16.586047974418936, -0.012980853352974046, -21376]","[16.586047974418936, -0.012980853352974046, -21376]","[17.871728401071945, -0.1097322195877396, -3702]","[16.586047974418936, -0.012980853352974046, -21376]","[14.26285372910536, -0.09484943874611496, -18515]","[19.138254994754114, -0.026785051362019457, -1146]"
27,"[12.624572454557267, -0.06707002772046736, -15591]","[12.945199994509991, -0.013501582948982032, -19040]","[13.410402710368924, -0.013770072572328951, -20475]","[13.410402710368924, -0.013770072572328951, -20475]","[14.565700642033988, -0.11252034598744386, -3012]","[13.410402710368924, -0.013770072572328951, -20475]","[11.678715748502787, -0.061645315832497084, -17926]","[13.726484114152152, -0.019210977287024766, -1146]"
28,"[12.861019994053386, -0.06690501390469741, -16211]","[13.320428087539922, -0.014482703589254778, -19675]","[13.379162813632833, -0.008104320549806856, -21817]","[13.379162813632833, -0.008104320549806856, -21817]","[15.358946687289706, -0.11402604095394614, -3396]","[13.379162813632833, -0.008104320549806856, -21817]","[12.803770809577257, -0.08140914269056944, -15661]","[13.726484114152152, -0.019210977287024766, -1146]"
